Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,action_set,batch_size,chain_length,coupling,dropout,epsilon,epsilon_increment,fc1_dims,fc2_dims,field_strength,gamma,learning_rate,max_t_steps,memory_size,n_actions,number_of_episodes,number_of_features,prioritized_experience_replay,replace_target_iter,reward_function,tolerance,tstep_length,avg_Qvalue,binned_Qvalue,binned_epsilon,binned_final_fid,binned_max_fid,binned_time_final_fid,binned_time_max_fid,epsilon_increment,fc1_dims,learning_rate,max_fid,soft_success_training_rate,true_success_training_rate,reward_function,prioritized,action set,chain_length
2025-06-10 15:30:29,330ms,37657c7749874ab8a3654bb977217c0b,trial_50,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,0.003160498716271146,302,120,100,0.95,0.0029133180562659873,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,979.4481567280976,979.44815673,0,0.00200012,0.00214176,40,28,,,,0.002141762067939448,0,0,site evolution,prioritized,oaps,8
2025-06-10 15:28:14,470ms,a30b5199194e4027b1b1118c648ad3b2,trial_43,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,0.030519557807403497,742,120,100,0.95,0.010973639742690534,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,1481.8145054203956,1489.44014937,0.99,0.0014987,0.00182325,40,33,,,,0.20843575998919972,0,0,site evolution,prioritized,oaps,8
2025-06-10 15:27:35,1.3s,85cb8932854941bc878dcaa900dcbd3b,trial_45,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,0.01764255896872519,1005,120,100,0.95,0.027413838944285042,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,2572.569490120464,2904.52647661,0.99,0.00095471,0.00140409,40,34,,,,0.708586832298509,0,0,site evolution,prioritized,oaps,8
2025-06-10 15:28:52,435ms,37a85542a6734946818875045e368241,trial_13,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,1.5005322629485507e-05,812,120,100,0.95,0.022586004248176535,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,1264.521422645416,1264.52142265,0,0.00039498,0.00139745,40,29,,,,0.0013974488099194615,0,0,site evolution,prioritized,oaps,8
2025-06-10 15:28:41,489ms,571c1ff6b11a47bc8675d58168ecbfee,trial_37,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,0.07516515667836546,616,120,100,0.95,0.020636845718692093,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,1069.2805371864886,1069.28053719,0,0.00110385,0.00133982,40,36,,,,0.0013398188327551105,0,0,site evolution,prioritized,oaps,8
2025-06-10 15:30:25,495ms,9473ae8c5e474038b76177c33c2ae384,trial_38,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,2.628842523448924e-05,944,120,100,0.95,0.002344822042073553,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,1026.9784637790792,1026.97846378,0,0.00126755,0.00126755,40,38,,,,0.0012675542582845953,0,0,site evolution,prioritized,oaps,8
2025-06-10 15:27:34,416ms,82a9e23d8e794746b80ab31800410f2f,trial_12,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,1.7475023560235358e-05,782,120,100,0.95,0.004485654389373439,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,1430.3250276428055,1430.32502764,0,0.0012121,0.0012121,40,38,,,,0.001212103195960643,0,0,site evolution,prioritized,oaps,8
2025-06-10 15:29:54,332ms,66d5bd661c8e42bf856674826f7de58e,trial_10,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,0.00022946550820766653,278,120,100,0.95,0.000974638183552949,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,1454.4865137849995,1454.48651378,0,0.00029561,0.00102092,40,33,,,,0.0010209185706980374,0,0,site evolution,prioritized,oaps,8
2025-06-10 15:28:48,1.0s,cdf9b902c17f4f979423d3d0f71ef3b5,trial_39,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,0.0003913330760252066,340,120,100,0.95,0.0010694065306638353,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,1853.1365201946824,2101.85996794,0.99,0.00095359,0.00100233,40,37,,,,0.8768505052940259,0,0,site evolution,prioritized,oaps,8
2025-06-10 15:30:29,0.5s,ac647222be264920b6c6dd220e756795,trial_14,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,0.0010968144978658557,491,120,100,0.95,0.0018910357872147217,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,984.5536312446028,984.55363124,0,0.00099903,0.00099903,40,38,,,,0.0009990345042311486,0,0,site evolution,prioritized,oaps,8
